idA	idB	O	OHA	OHB	OLA	OLB	K
98826	44246	N	-145	-146	105	105	1
98826	100935	N	-182	-182	69	69	1
98826	63977	N	-166	-167	84	84	1
71686	69169	N	186	185	65	65	1
71686	104758	N	152	152	99	99	0
71686	1050	N	177	177	74	74	0
71686	12222	N	149	149	102	102	2
71686	20341	N	-196	-198	53	53	1
60568	1460	N	92	92	158	158	1
84267	36852	N	-16	-16	235	235	2
84267	67648	N	-66	-66	185	185	0
84267	75753	N	193	192	58	58	1
84267	45568	N	-227	-227	24	24	0
5264	66188	N	-102	-102	149	149	0
5264	35384	N	4	0	247	247	1
53761	25603	N	1	3	246	246	2
56414	90029	N	121	122	129	129	0
48482	43735	N	43	42	208	208	0
48482	25006	N	-200	-200	51	51	0
48482	41924	N	-180	-180	71	71	0
48482	84763	N	31	30	220	220	3
48482	80079	N	189	189	62	62	0
48482	100935	N	-6	-6	245	245	0
48482	86858	N	43	42	208	208	2
48482	20341	N	129	127	122	122	1
48482	99761	N	-141	-141	110	110	0
83432	23800	N	-101	-101	150	150	0
83432	86087	N	80	80	171	171	3
1179	106462	N	-196	-196	55	55	1
1179	61072	N	0	0	251	251	1
1179	41924	N	191	191	60	60	1
1179	56278	N	-189	-190	61	61	1
1179	107175	N	-159	-160	91	91	1
1179	87140	N	46	46	205	205	0
28381	35205	N	-143	-143	108	108	0
28381	96202	N	-156	-156	95	95	0
28381	55811	N	-181	-181	70	70	0
95389	34186	N	-92	-93	158	158	0
95389	41399	N	70	65	181	181	0
31702	23800	N	140	140	111	111	2
31702	83602	N	192	192	59	59	1
35205	67648	N	199	199	52	52	0
105183	23829	N	164	161	87	87	0
105183	48174	N	-9	-9	242	242	0
60763	23800	N	-208	-208	43	43	0
60763	6220	N	-70	-73	178	178	1
8487	20111	N	99	91	152	152	3
8487	78610	N	-78	-80	171	171	0
8487	55470	N	163	161	88	88	0
8487	75101	N	231	230	20	20	0
106462	35972	N	84	84	167	167	1
106462	66188	N	-193	-193	58	58	1
106462	67029	N	196	196	55	55	0
22663	58838	N	-212	-212	39	39	0
22663	96313	N	-119	-119	132	132	0
22663	56564	N	0	0	251	251	0
22663	52278	N	-224	-226	25	25	0
8500	49341	N	-60	-60	191	191	0
8500	68864	N	-131	-131	120	120	1
8500	41376	N	-3	-4	247	247	4
61713	20865	N	-5	-5	246	246	0
69169	104758	N	-34	-33	217	217	2
69169	1050	N	-9	-8	242	242	3
69169	12222	N	-37	-36	214	214	3
69169	46853	N	-153	-152	98	98	1
51205	59036	N	2	2	249	249	2
6031	8968	N	83	84	167	167	0
6031	58838	N	196	197	54	54	1
6031	52278	N	184	183	66	66	0
6031	75753	N	149	149	101	101	2
40951	7666	N	204	203	47	47	0
23800	6220	N	138	135	113	113	0
23800	68249	N	151	150	100	100	2
23800	80321	N	-222	-223	28	28	0
88450	60765	N	-94	-94	157	157	0
88450	12990	N	77	77	174	174	3
104758	1050	N	25	25	226	226	0
104758	46853	N	-119	-119	132	132	2
104758	55811	N	95	95	156	156	3
104758	45568	N	171	171	80	80	0
49341	68864	N	-71	-71	180	180	1
68070	13620	N	-218	-219	32	32	0
16888	60354	N	-85	-84	166	166	1
35972	67029	N	112	112	139	139	0
35972	9324	N	-173	-175	76	76	1
35972	103609	N	-173	-175	76	76	1
68249	47507	N	-28	-27	223	223	1
68249	79560	N	-55	-54	196	196	1
68249	101323	N	0	0	250	250	1
68249	20726	N	-15	-15	235	235	1
68249	40041	N	108	106	142	142	0
47507	79560	N	-27	-27	224	224	0
47507	101323	N	28	27	223	223	0
47507	20726	N	13	12	238	238	0
47507	40041	N	136	133	115	115	0
43735	41924	N	-223	-222	28	28	0
43735	76162	N	-172	-172	78	78	0
43735	84763	N	-12	-12	238	238	4
43735	80079	N	146	147	104	104	1
43735	100935	N	-49	-48	202	202	0
43735	86858	N	0	0	250	250	4
43735	20341	N	86	85	164	164	3
43735	99761	N	-184	-183	67	67	0
43735	63977	N	-33	-33	217	217	4
49737	17238	N	-140	-140	111	111	0
95970	4927	N	24	24	227	227	0
65631	66222	N	160	160	91	91	0
44904	105323	N	-12	-12	238	238	1
