idA	idB	O	OHA	OHB	OLA	OLB	K
43290	54370	N	-138	-135	112	112	1
43290	84546	N	-61	-57	190	190	0
43290	43219	N	72	76	175	175	0
102716	40806	N	91	91	160	160	0
33497	72619	N	30	31	220	220	0
47058	78129	N	-127	-127	124	124	0
47058	78177	N	19	19	232	232	0
47058	36793	N	139	139	112	112	0
58149	75980	N	-60	-59	191	191	0
58149	40123	N	69	70	181	181	0
58149	76394	N	16	16	234	234	1
81724	104167	N	-115	-114	135	135	0
81724	67470	N	-154	-153	96	96	0
67005	106899	N	136	137	114	114	0
67005	6438	N	-133	-134	116	116	0
67005	14034	N	69	69	181	181	0
67005	78083	N	-151	-151	99	99	0
67005	79926	N	10	11	240	240	2
67005	70076	N	-132	-131	119	119	1
67005	78520	N	12	13	238	238	1
67005	67563	N	99	100	151	151	1
